Profession,Condition,Category,Observed,Expected,Standardized residual,Abs standardized residual
Cleaning assistant,Spanish_standard,M,234.0,81.66666666666667,16.856698944921803,16.856698944921803
Cleaning assistant,Spanish_standard,F,11.0,162.55801687763713,-11.88706719546002,11.88706719546002
Cleaning assistant,Spanish_standard,N,0.0,0.7753164556962026,-0.8805205594965984,0.8805205594965984
Cleaning assistant,Spanish_limited,M,59.0,81.66666666666667,-2.50821778611528,2.50821778611528
Cleaning assistant,Spanish_limited,F,186.0,162.55801687763713,1.8386122642086626,1.8386122642086626
Cleaning assistant,Spanish_limited,N,0.0,0.7753164556962026,-0.8805205594965984,0.8805205594965984
Cleaning assistant,French_standard,M,7.0,75.0,-7.851963660978909,7.851963660978909
Cleaning assistant,French_standard,F,216.0,149.2879746835443,5.459988305739,5.459988305739
Cleaning assistant,French_standard,N,2.0,0.7120253164556962,1.5263692522563057,1.5263692522563057
Cleaning assistant,French_limited,M,16.0,77.66666666666667,-6.9973426388681625,6.9973426388681625
Cleaning assistant,French_limited,F,216.0,154.59599156118142,4.938528997329549,4.938528997329549
Cleaning assistant,French_limited,N,1.0,0.7373417721518988,0.3058838801204862,0.3058838801204862
Doctor,Spanish_standard,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Doctor,Spanish_standard,N,0.0,0.25,-0.5,0.5
Doctor,Spanish_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Doctor,Spanish_limited,N,0.0,0.25,-0.5,0.5
Doctor,French_standard,M,244.0,244.75,-0.04794020790754448,0.04794020790754448
Doctor,French_standard,N,1.0,0.25,1.5,1.5
Doctor,French_limited,M,245.0,244.75,0.01598006930251483,0.01598006930251483
Doctor,French_limited,N,0.0,0.25,-0.5,0.5
Electrician,Spanish_standard,M,243.0,244.49432404540764,-0.09556753716467128,0.09556753716467128
Electrician,Spanish_standard,N,2.0,0.5056759545923633,2.101399542263445,2.101399542263445
Electrician,Spanish_limited,M,245.0,244.49432404540764,0.03233984337754755,0.03233984337754755
Electrician,Spanish_limited,N,0.0,0.5056759545923633,-0.7111089611250608,0.7111089611250608
Electrician,French_standard,M,237.0,236.5108359133127,0.03180746391132344,0.03180746391132344
Electrician,French_standard,N,0.0,0.4891640866873065,-0.699402664198033,0.699402664198033
Electrician,French_limited,M,242.0,241.50051599587204,0.03214123447736537,0.03214123447736537
Electrician,French_limited,N,0.0,0.49948400412796695,-0.7067418228235591,0.7067418228235591
Firefighter,Spanish_standard,M,243.0,243.731884057971,-0.04687983933061559,0.04687983933061559
Firefighter,Spanish_standard,N,2.0,1.2681159420289856,0.6499243466086646,0.6499243466086646
Firefighter,Spanish_limited,M,245.0,243.731884057971,0.08122744438473228,0.08122744438473228
