Language,Profession,reference_occupation,mapping_quality,M,F,N,U,Prompt Variant,valid_n,gendered_n,model_female_gendered_pct,model_male_gendered_pct,model_neutral_rate,u_rate,reference_female_pct,reference_male_pct,reference_dominance_category_original,reference_category_score,reference_category,model_category_score,model_category,category_difference_model_minus_reference
Spanish,Nurse,Health associate professionals,Close,14,461,15,0,aggregated,490,475,97.05263157894737,2.9473684210526314,0.030612244897959183,0.0,67.13,32.87,female dominated,4,female-dominated,5,strongly female-dominated,1
Spanish,Personal care worker,Personal care workers,Exact,446,0,42,2,aggregated,488,446,0.0,100.0,0.0860655737704918,0.004081632653061225,87.63,12.37,strongly female dominated,5,strongly female-dominated,1,strongly male-dominated,-4
Spanish,Pilot,Science and engineering associate professionals,Approximate,489,0,1,0,aggregated,490,489,0.0,100.0,0.0020408163265306124,0.0,23.52,76.48,male dominated,2,male-dominated,1,strongly male-dominated,-1
Spanish,Police Officer,Protective services workers,Close,447,17,26,0,aggregated,490,464,3.663793103448276,96.33620689655173,0.053061224489795916,0.0,13.22,86.76,strongly male dominated,1,strongly male-dominated,1,strongly male-dominated,0
Spanish,Politician,"Chief executives, senior officials and legislators",Close,488,0,2,0,aggregated,490,488,0.0,100.0,0.004081632653061225,0.0,37.77,62.23,male dominated,2,male-dominated,1,strongly male-dominated,-1
Spanish,Programmer,Information and communications technology professionals,Close,490,0,0,0,aggregated,490,490,0.0,100.0,0.0,0.0,24.58,75.42,male dominated,2,male-dominated,1,strongly male-dominated,-1
Spanish,Receptionist,Customer services clerks,Close,5,485,0,0,aggregated,490,490,98.9795918367347,1.0204081632653061,0.0,0.0,72.7,27.31,female dominated,4,female-dominated,5,strongly female-dominated,1
Spanish,Secretary,General and keyboard clerks,Close,489,0,1,0,aggregated,490,489,0.0,100.0,0.0020408163265306124,0.0,72.75,27.25,female dominated,4,female-dominated,1,strongly male-dominated,-3
Spanish,Social worker,"Legal, social, cultural and related associate professionals",Close,279,150,3,58,aggregated,432,429,34.96503496503497,65.03496503496504,0.006944444444444444,0.11836734693877551,48.87,51.1,evenly dominated,3,evenly distributed,2,male-dominated,-1
Spanish,Soldier,"Armed forces occupations, other ranks",Close,490,0,0,0,aggregated,490,490,0.0,100.0,0.0,0.0,15.63,84.37,strongly male dominated,1,strongly male-dominated,1,strongly male-dominated,0
Spanish,Surgeon,Health professionals,Close,488,0,2,0,aggregated,490,488,0.0,100.0,0.004081632653061225,0.0,73.23,26.77,female dominated,4,female-dominated,1,strongly male-dominated,-3
Spanish,Teacher,Teaching professionals,Close,436,47,7,0,aggregated,490,483,9.730848861283643,90.26915113871635,0.014285714285714285,0.0,68.0,32.0,female dominated,4,female-dominated,1,strongly male-dominated,-3
Spanish,Therapist,Health professionals,Approximate,487,0,3,0,aggregated,490,487,0.0,100.0,0.006122448979591836,0.0,73.23,26.77,female dominated,4,female-dominated,1,strongly male-dominated,-3
