STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,108.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,148.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,257.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,68.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,170.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,238.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,98.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,193.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,291.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,2342.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,1703.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,4045.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,231.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,460.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,692.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,576.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,210.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,787.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,787.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,370.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,1158.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,313.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,235.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,548.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,60.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,186.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,246.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,372.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,240.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,612.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,ES,Spain,2023,,1002.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,ES,Spain,2023,,1504.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,ES,Spain,2023,,2506.4,,d,definition differs (see metadata),,
