Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Teacher,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Cleaning assistant,7,216,2,20,245,225,20,245,0.081633,0.031111,0.960000,0.008889,-0.928889,FALSE,0.000000,0.031111,0.960000,0.008889,-0.928889,0.128277,0.023877,-0.975687,-0.882091,-38.902849,0.000000,0.000568,TRUE,223,0.000000,TRUE,No smoothing used.
French,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Doctor,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.000000,0.995918,0.000000,0.004082,0.995918,0.004065,0.004073,0.987935,1.000000,244.499489,0.000000,0.000568,TRUE,244,0.000000,TRUE,No smoothing used.
French,standard,Electrician,237,0,0,8,245,237,8,245,0.032653,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,237,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,standard,Firefighter,235,0,3,7,245,238,7,245,0.028571,0.987395,0.000000,0.012605,0.987395,FALSE,0.000000,0.987395,0.000000,0.012605,0.987395,0.012446,0.007232,0.973221,1.000000,136.540592,0.000000,0.000568,TRUE,235,0.000000,TRUE,No smoothing used.
French,standard,Flight attendant,2,235,2,6,245,239,6,245,0.024490,0.008368,0.983264,0.008368,-0.974895,FALSE,0.000000,0.008368,0.983264,0.008368,-0.974895,0.041211,0.013131,-1.000000,-0.949159,-74.242338,0.000000,0.000568,TRUE,237,0.000000,TRUE,No smoothing used.
