STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,127.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,182.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,317.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,282.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,599.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,194.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,471.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,666.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,188.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,296.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC14,"Hospitality, retail and other services managers",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,485.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,3373.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,3304.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC2,Professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,6677.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,428.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,769.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC21,Science and engineering professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1198.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,531.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,264.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC22,Health professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,796.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,848.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,446.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC23,Teaching professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1294.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,821.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,845.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC24,Business and administration professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1667.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,149.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,669.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC25,Information and communications technology professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,818.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,547.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,268.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC26,"Legal, social and cultural professionals",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,815.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,2918.2,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,2133.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC3,Technicians and associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,5052.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,192.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,754.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC31,Science and engineering associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,946.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,756.7,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,228.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC32,Health associate professionals,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,984.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC33,Business and administration associate professionals,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,1287.1,,d,definition differs (see metadata),,
